id,nhogar,miembro,comuna,dominio,edad,sexo,parentes_2,p5_2,p6_a,p6_b,estado,categori,t13,t14,t18,t28,t29,t29a,t30,sem_hs,t33,t34,t35,t37_cod_2,t37_coda_2,t38,t39,t40,t41_cod_2,t47,t48,t51_bis,i1,i4,i6_3,i10,i11,codioph,ioph_2,codioph_neto,ioph_neto_2,codios,ios_2,codioa,ioa_2,codlab,inglab_2,codi3_1x,i3_1x_2,codi3_2x,i3_2x_2,codi3_8x,i3_8x_2,codi3_est,i3_est_2,codi3_otr,i3_otr_2,codnolab,ingnolab_2,coding,ingtot_2,codi_tot,itfb_2,ipcfb_2,e2,e4,e6,e8,e12,e13,e14,edad_30,nivel,aesc,m1,m1_2,m2_anio,m3_anio,tipcob2_2,sn1_1,sn1_7,sn1_2,sn1_3,sn1_4,sn1_5,s8,sn14,sn16,s28,s29,fexp,sexotexto
962,1,4,4,inquilinatos hoteles inmuebles tomados,6,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8400,2100,1,1,3,1,No corresponde,0,0,6,2,0,1,1,0,1,1,2,2,2,2,2,2,2,0,Bueno,0,0,111,varon
963,1,1,8,resto ciudad,32,varon,1,6,0,0,ocupado,2,0,0,0,0,0,0,1,56,2,0,2,9501,8,2,1,1,92132,2,0,0,0,0,0,2,0,1,3500,1,3500,0,0,2,0,1,3500,2,0,2,0,2,0,2,0,2,0,2,0,1,3500,1,3500,3500,2,0,0,0,Secundario/ medio común,1,0,32,5,12,3,3,0,2016,1,2,2,2,2,2,2,2,0,Regular,0,0,49,varon
964,1,1,1,resto ciudad,32,mujer,1,6,0,0,ocupado,2,0,0,0,0,0,0,1,48,2,0,2,4804,3,2,5,1,30113,2,0,0,0,0,0,2,0,1,10000,1,10000,0,0,2,0,1,10000,2,0,2,0,2,0,2,0,2,0,2,0,1,10000,1,10000,5000,2,0,0,0,Secundario/ medio común,1,0,31,5,12,4,4,2012,2012,1,2,2,2,2,2,2,2,0,Muy bueno,1,1,102,mujer
964,1,2,1,resto ciudad,8,mujer,3,0,95,1,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000,5000,1,1,3,3,No corresponde,0,0,8,2,2,4,4,2016,2016,1,2,2,2,2,2,2,2,0,Muy bueno,0,0,102,mujer
965,1,1,7,villas emergencia,32,varon,1,2,0,0,ocupado,3,0,0,0,0,0,0,1,40,2,0,2,8600,7,1,2,4,40314,0,0,1,1,0,2,0,0,1,15000,1,15000,0,0,2,0,1,15000,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,1,15000,3750,2,0,0,0,Secundario/ medio común,1,0,32,5,12,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,0,0,57,varon
965,1,2,7,villas emergencia,30,mujer,2,2,0,0,inactivo,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,15000,3750,2,0,0,0,Secundario/ medio común,2,4,29,4,11,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,1,2,57,mujer
965,1,3,7,villas emergencia,7,varon,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,3750,1,2,3,2,No corresponde,0,0,7,2,1,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,0,0,57,varon
965,1,4,7,villas emergencia,5,mujer,3,0,1,2,inactivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15000,3750,1,1,2,0,No corresponde,0,0,5,1,0,1,1,0,1,2,1,2,2,2,2,2,2,0,Muy bueno,0,0,57,mujer
966,1,1,8,villas emergencia,32,mujer,1,1,0,0,ocupado,3,0,0,0,0,0,0,1,60,2,0,2,1400,1,2,2,2,80314,0,0,3,1,0,2,0,0,1,4500,1,4500,0,0,2,0,1,4500,2,0,2,0,2,0,1,800,2,0,1,800,1,5300,1,13300,4433,2,0,0,0,Secundario/ medio común,1,0,32,5,12,5,5,2011,2011,1,2,2,2,2,2,2,2,0,Muy bueno,1,1,52,mujer
966,1,2,8,villas emergencia,28,varon,2,1,0,0,ocupado,3,0,0,0,0,0,0,1,40,2,0,2,1400,1,2,2,3,80323,0,0,3,1,0,2,0,0,1,8000,1,8000,0,0,2,0,1,8000,2,0,2,0,2,0,2,0,2,0,2,0,1,8000,1,13300,4433,2,0,0,0,Primario común,1,0,28,3,7,5,5,2011,2011,1,2,2,2,2,2,2,2,0,Bueno,0,0,52,varon
