random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
83,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,42,0 = No,0 = No,42.857143
84,0 Hogar no motivado,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,
85,0 Hogar no motivado,0 Hogar no conectado,1 = Male,26,1 = Yes,1 = Yes,
86,0 Hogar no motivado,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,85.714287
87,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,55,0 = No,0 = No,57.14286
88,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,45,0 = No,0 = No,
89,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,36,1 = Yes,1 = Yes,57.14286
90,0 Hogar no motivado,0 Hogar no conectado,2 = Female,41,0 = No,0 = No,42.857143
91,0 Hogar no motivado,0 Hogar no conectado,2 = Female,,0 = No,0 = No,
92,0 Hogar no motivado,0 Hogar no conectado,1 = Male,48,1 = Yes,1 = Yes,42.857143
93,0 Hogar no motivado,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,
94,0 Hogar no motivado,0 Hogar no conectado,1 = Male,58,1 = Yes,1 = Yes,85.714287
95,0 Hogar no motivado,0 Hogar no conectado,1 = Male,74,1 = Yes,1 = Yes,
96,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,0 = No,0 = No,71.428574
99,0 Hogar no motivado,0 Hogar no conectado,1 = Male,40,1 = Yes,1 = Yes,
100,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,68,1 = Yes,1 = Yes,
101,0 Hogar no motivado,0 Hogar no conectado,1 = Male,74,1 = Yes,1 = Yes,
103,0 Hogar no motivado,0 Hogar no conectado,1 = Male,60,1 = Yes,1 = Yes,14.285715
104,0 Hogar no motivado,0 Hogar no conectado,1 = Male,49,1 = Yes,1 = Yes,
105,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,54,0 = No,0 = No,
106,0 Hogar no motivado,0 Hogar no conectado,2 = Female,46,0 = No,0 = No,
107,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,,1 = Yes,1 = Yes,
108,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,1 = Yes,1 = Yes,57.14286
112,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,58,0 = No,0 = No,
114,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,30,1 = Yes,1 = Yes,
115,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,60,0 = No,0 = No,
116,0 Hogar no motivado,1 Hogar conectado,1 = Male,45,1 = Yes,1 = Yes,71.428574
117,0 Hogar no motivado,1 Hogar conectado,1 = Male,37,0 = No,0 = No,14.285715
119,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,1 = Yes,1 = Yes,85.714287
120,0 Hogar no motivado,0 Hogar no conectado,1 = Male,40,1 = Yes,1 = Yes,
122,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,56,0 = No,0 = No,
123,0 Hogar no motivado,0 Hogar no conectado,2 = Female,50,0 = No,0 = No,
124,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,64,0 = No,0 = No,
125,0 Hogar no motivado,0 Hogar no conectado,2 = Female,48,1 = Yes,1 = Yes,
126,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,43,1 = Yes,1 = Yes,
127,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,37,0 = No,0 = No,57.14286
130,0 Hogar no motivado,1 Hogar conectado,1 = Male,68,0 = No,0 = No,
131,0 Hogar no motivado,0 Hogar no conectado,1 = Male,53,1 = Yes,1 = Yes,
132,0 Hogar no motivado,0 Hogar no conectado,1 = Male,39,1 = Yes,1 = Yes,85.714287
133,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,28,1 = Yes,1 = Yes,
134,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,37,1 = Yes,1 = Yes,28.57143
135,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,39,0 = No,0 = No,71.428574
136,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,71,0 = No,0 = No,
137,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,28,1 = Yes,1 = Yes,
138,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,43,1 = Yes,1 = Yes,57.14286
139,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,39,1 = Yes,1 = Yes,
141,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,0 = No,0 = No,28.57143
142,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,71,1 = Yes,1 = Yes,
143,0 Hogar no motivado,0 Hogar no conectado,2 = Female,39,1 = Yes,1 = Yes,
146,0 Hogar no motivado,1 Hogar conectado,2 = Female,48,0 = No,0 = No,
147,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,1 = Yes,1 = Yes,71.428574
148,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,25,1 = Yes,1 = Yes,
149,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,43,1 = Yes,1 = Yes,57.14286
150,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,41,0 = No,0 = No,85.714287
151,0 Hogar no motivado,0 Hogar no conectado,1 = Male,35,0 = No,0 = No,
152,0 Hogar no motivado,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,85.714287
153,0 Hogar no motivado,0 Hogar no conectado,1 = Male,54,0 = No,0 = No,
156,0 Hogar no motivado,0 Hogar no conectado,1 = Male,41,1 = Yes,1 = Yes,85.714287
157,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,41,0 = No,0 = No,
159,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,42,1 = Yes,1 = Yes,71.428574
160,0 Hogar no motivado,0 Hogar no conectado,1 = Male,40,1 = Yes,1 = Yes,42.857143
161,0 Hogar no motivado,0 Hogar no conectado,1 = Male,80,1 = Yes,1 = Yes,
162,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,36,1 = Yes,1 = Yes,
163,0 Hogar no motivado,0 Hogar no conectado,1 = Male,28,0 = No,0 = No,
164,0 Hogar no motivado,0 Hogar no conectado,1 = Male,35,1 = Yes,1 = Yes,
165,0 Hogar no motivado,0 Hogar no conectado,1 = Male,65,0 = No,0 = No,
169,0 Hogar no motivado,0 Hogar no conectado,1 = Male,63,1 = Yes,1 = Yes,
170,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,55,0 = No,0 = No,
171,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,56,1 = Yes,1 = Yes,0
173,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,51,1 = Yes,1 = Yes,
174,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,53,0 = No,0 = No,42.857143
175,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,82,0 = No,0 = No,
177,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,53,1 = Yes,1 = Yes,
178,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,52,1 = Yes,1 = Yes,71.428574
179,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,32,1 = Yes,1 = Yes,
181,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,53,1 = Yes,1 = Yes,
182,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,55,,,57.14286
183,0 Hogar no motivado,0 Hogar no conectado,1 = Male,55,1 = Yes,1 = Yes,14.285715
186,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,66,1 = Yes,1 = Yes,
189,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,28,0 = No,0 = No,
191,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,25,1 = Yes,1 = Yes,
193,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,45,1 = Yes,1 = Yes,
195,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,1 = Yes,1 = Yes,71.428574
196,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,0 = No,0 = No,
197,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,73,0 = No,0 = No,
198,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,21,1 = Yes,1 = Yes,14.285715
202,0 Hogar no motivado,0 Hogar no conectado,1 = Male,68,0 = No,0 = No,
203,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,48,1 = Yes,1 = Yes,71.428574
204,0 Hogar no motivado,0 Hogar no conectado,1 = Male,55,1 = Yes,1 = Yes,85.714287
206,0 Hogar no motivado,0 Hogar no conectado,1 = Male,65,1 = Yes,1 = Yes,42.857143
207,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,71,0 = No,0 = No,
208,0 Hogar no motivado,0 Hogar no conectado,2 = Female,51,0 = No,0 = No,
209,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,70,0 = No,0 = No,
211,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,40,0 = No,0 = No,71.428574
212,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,50,0 = No,0 = No,57.14286
213,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,58,1 = Yes,1 = Yes,
